cig;numero_gara;importo_complessivo_gara;n_lotti_componenti;importo_lotto;settore;data_pubblicazione;tipo_scelta_contraente;modalita_realizzazione;denominazione_amministrazione_appaltante;sezione_regionale;descrizione_cpv;aggiudicatario;tipo_aggiudicatario
0240219AFA;317148;83246.8;1.0;83246.8;SETTORI ORDINARI;2008-11-20;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;COMUNE DI SELARGIUS;SEZIONE REGIONALE SARDEGNA;SERVIZI DI GUARDIA;ISTITUTO DI VIGILANZA LA SICUREZZA NOTTURNA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2395352300;2471687;24030.0;1.0;24030.0;SETTORI ORDINARI;2008-11-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;COMUNE DI GERANO;SEZIONE REGIONALE LAZIO;PREPARAZIONE DI PROGETTI E PROGETTAZIONI, STIMA DEI COSTI;ING. MARCO DI FELICIANTONIO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02387731B6;314140;25860.84;1.0;25860.84;SETTORI ORDINARI;2008-11-20;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTI;SEZIONE REGIONALE CENTRALE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI NAVI DA GUERRA;O.L.L. OFFICINA LAVORAZIONE LEGNO DI ORLANDI LANFRANCO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
2844870CFA;2891057;374996.0;1.0;374996.0;SETTORI ORDINARI;2008-11-05;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;FONDAZIONE IRCCS ISTITUTO NEUROLOGICO CARLO BESTA;SEZIONE REGIONALE CENTRALE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI ATTREZZATURE MEDICHE;ELEKTA ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4128847055;4103867;50000.0;1.0;50000.0;SETTORI ORDINARI;2008-11-24;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;AZIENDA SANITARIA LOCALE LECCE;SEZIONE REGIONALE PUGLIA;DISPOSITIVI E PRODOTTI MEDICI VARI;PHARMA-J SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
31610060AC;3185028;953587.438;1.0;953587.43;SETTORI ORDINARI;2008-11-14;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA ULSS N. 1 DOLOMITI;SEZIONE REGIONALE VENETO;MEDICINALI VARI;ABBOTT S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
4294181642;4258993;201750.0;1.0;201750.0;SETTORI ORDINARI;2008-11-20;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;PROVINCIA AUTONOMA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI DI INGEGNERIA INTEGRATI;GEOPROJECT STUDIO DI GEOLOGIA APPLICATA DR. GEOL. CARLO FERRETTI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
39413676EF;3928011;41300.0;1.0;41300.0;SETTORI ORDINARI;2008-11-20;AFFIDAMENTO DIRETTO;ACQUISIZIONE IN ECONOMIA;COMUNE DI MOLVENO;SEZIONE REGIONALE PROVINCIA AUTONOMA DI TRENTO;SERVIZI DI URBANISTICA;DEDALUS SAS;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0237158CF5;312539;1128500.0;8.0;117500.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;MEDICAL CENTER MG S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0237158CF5;312539;1128500.0;8.0;117500.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;CARDIOGAMMA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0237158CF5;312539;1128500.0;8.0;117500.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;SAPA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0237158CF5;312539;1128500.0;8.0;117500.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;TECNOLIFE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0237158CF5;312539;1128500.0;8.0;117500.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;INNOTEC S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0237158CF5;312539;1128500.0;8.0;117500.0;SETTORI ORDINARI;2008-11-12;PROCEDURA RISTRETTA;CONTRATTO DAPPALTO;I.R.C.C.S. - C.R.O.B -CENTRO DI RIFERIMENTO ONCOLOGICO DELLA BASILICATA;SEZIONE REGIONALE BASILICATA;APPARECCHI E STRUMENTI PER SALA OPERATORIA;AGENZIA KAPPA S.A.S DI FIORE PAOLA E C;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0225854C9A;301016;50000.0;1.0;50000.0;SETTORI ORDINARI;2008-11-03;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTI;SEZIONE REGIONALE CENTRALE;SERVIZI DI RIPARAZIONE E MANUTENZIONE DI NAVI DA GUERRA;OMEGA ENGINEERING MARINE S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0252799853;337525;50171.72;1.0;50171.72;SETTORI ORDINARI;2008-11-28;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;SOPRINTENDENZA SPECIALE PER IL P. S. A. E. E PER IL POLO MUSEALE CITT? DI FIRENZE;SEZIONE REGIONALE TOSCANA;LAVORI EDILI E DI MURATURA;MUGELLI COSTRUZIONI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3192145163;3213801;1357796.625;1.0;1357796.63;SETTORI ORDINARI;2008-11-21;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;MINISTERO INFRASTRUTTURE E TRASPORTI-ALLE OOPP LAZIO ABRUZZO SARDEGNA SEDE DI ROMA;SEZIONE REGIONALE CENTRALE;LAVORI DI RISTRUTTURAZIONE;LELETTRICA LEOPIZZI SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
3048938F37;3081630;308917.59;1.0;308917.59;SETTORI ORDINARI;2008-11-10;PROCEDURA NEGOZIATA DERIVANTE DA AVVISI CON CUI SI INDICE UNA GARA;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;AZIENDA SANITARIA LOCALE BARI;SEZIONE REGIONALE PUGLIA;SCANNER CT;GE MEDICAL SYSTEMS ITALIA ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
109564178C;350400;54600.0;1.0;54600.0;SETTORI ORDINARI;2008-11-17;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;COMUNE DI TORRI DI QUARTESOLO;SEZIONE REGIONALE VENETO;SERVIZI CIMITERIALI;A.G.S.E.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3569230DC2;3571797;133000.0;1.0;133000.0;SETTORI SPECIALI;2008-11-27;PROCEDURA SELETTIVA EX ART. 238 C.7, D.LGS. 163/2006;CONTRATTO D'APPALTO;ACQUA CAMPANIA SPA;SEZIONE REGIONALE CAMPANIA;VARI SERVIZI DI INGEGNERIA;S.T.I.GE. S.R.L. STUDIO TECNICO DI INGEGNERIA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
33544736AF;3369968;134000.0;1.0;134000.0;SETTORI ORDINARI;2008-11-10;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;ACQUISIZIONE IN ECONOMIA;VENEZIANA ENERGIA RISORSE IDRICHE TERRITORIO AMBIENTE SERVIZI SPA;SEZIONE REGIONALE VENETO;SERVIZI BANCARI;UNICREDIT CORPORATE BANKING SPA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1816749CB0;1887841;1900987.2;1.0;1900987.2;SETTORI ORDINARI;2008-11-02;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;REGIONE VENETO;SEZIONE REGIONALE VENETO;SERVIZI DI ASSISTENZA SOFTWARE;SAS INSTITUTE SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02213041D6;296415;56372.28;1.0;56372.28;SETTORI SPECIALI;2008-11-27;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;CENTOSTAZIONI S.P.A.;SEZIONE REGIONALE CENTRALE;LAVORI DI COSTRUZIONE DI STRUTTURE METALLICHE;S.I. & M. S.R.L. ;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
02742237F8;362810;1834825.88;1.0;1834825.88;SETTORI ORDINARI;2008-11-13;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO D'APPALTO;PRES.ZA CONSIGLIO MINISTRI-DIPARTIMENTO PROTEZIONE CIVILE;SEZIONE REGIONALE CENTRALE;SERVIZI DI SUPPORTO VARI AI TRASPORTI AEREI;SOCIETÀ RICERCHE ESPERIENZE METEOROLOGICHE S.R.L. (SO.R.E.M.);IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0241321861;319425;1223456.06;2.0;1036536.06;SETTORI ORDINARI;2008-11-26;PROCEDURA APERTA;CONTRATTO D'APPALTO;SEGRETERIA REGIONALE DEL MIBACT PER LA CALABRIA;SEZIONE REGIONALE CENTRALE;LAVORI DI RESTAURO;D?ALESSANDRO COSTRUZIONI SRL ;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0241321861;319425;1223456.06;2.0;1036536.06;SETTORI ORDINARI;2008-11-26;PROCEDURA APERTA;CONTRATTO D'APPALTO;SEGRETERIA REGIONALE DEL MIBACT PER LA CALABRIA;SEZIONE REGIONALE CENTRALE;LAVORI DI RESTAURO;ANTIQUA SRL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0239929BA9;316616;82000.0;1.0;82000.0;SETTORI ORDINARI;2008-11-21;PROCEDURA NEGOZIATA SENZA PREVIA INDIZIONE DI GARA (SETTORI SPECIALI);CONTRATTO DAPPALTO;AZIENDA SANITARIA LOCALE N. 2 SAVONESE;SEZIONE REGIONALE LIGURIA;MATERIALI MEDICI;ESTOR;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
1029264F81;1081521;76000.0;1.0;76000.0;SETTORI ORDINARI;2008-11-17;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;PROVINCIA AUTONOMA BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI DI PULIZIA DI UFFICI;RAPID SERVICE DI PASQUALINI HERWIG & C. S.A.S.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0241576ACF;319831;227000.0;1.0;227000.0;SETTORI ORDINARI;2008-11-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;MIN.DIFESA DIR.GEN.IMP.E MEZZI DIF.AEREA E TELECOMUNICAZ.;SEZIONE REGIONALE CENTRALE;MATERIALI A FIBRE OTTICHE;THALES;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0241576ACF;319831;227000.0;1.0;227000.0;SETTORI ORDINARI;2008-11-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;MIN.DIFESA DIR.GEN.IMP.E MEZZI DIF.AEREA E TELECOMUNICAZ.;SEZIONE REGIONALE CENTRALE;MATERIALI A FIBRE OTTICHE;SELEX COMMUNICATIONS SPA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0241576ACF;319831;227000.0;1.0;227000.0;SETTORI ORDINARI;2008-11-24;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO DAPPALTO;MIN.DIFESA DIR.GEN.IMP.E MEZZI DIF.AEREA E TELECOMUNICAZ.;SEZIONE REGIONALE CENTRALE;MATERIALI A FIBRE OTTICHE;THALES SECURITY SOLUTIONS AND SERVICES S.P.A. ;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0229926CEC;304790;29000.0;1.0;29000.0;SETTORI ORDINARI;2008-11-27;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;ACQUISIZIONE IN ECONOMIA;MARINA MILITARE DIREZIONE GENERALE ARSENALE MILITARE MARITTI;SEZIONE REGIONALE CENTRALE;BANCHI DI PROVA;ESSE EMME SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02362331A3;311575;144559.0;1.0;144559.0;SETTORI ORDINARI;2008-11-04;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;COMUNE DI RAVENNA;SEZIONE REGIONALE EMILIA ROMAGNA;LAVORI DI COSTRUZIONE;ADRIATICA COSTRUZIONI CERVESE SOC. COOPERATIVA;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0237029284;312402;70998.69;1.0;70998.69;SETTORI ORDINARI;2008-11-13;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;PROVINCIA DI TERAMO;SEZIONE REGIONALE ABRUZZO;LAVORI DI COSTRUZIONE;F.LLI BUCCI S.N.C.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
306125103E;3093067;81000.0;1.0;81000.0;SETTORI ORDINARI;2008-11-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO DAPPALTO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;MEDICINALI VARI;WYETH LEDERLE S.P.A.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0250998A17;335029;7880597.0;1.0;7880597.0;SETTORI ORDINARI;2008-11-27;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;MINISTERO DELLAMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE;SEZIONE REGIONALE CENTRALE;SISTEMA DI ACQUISIZIONE DATI;BETA STUDIO S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0250998A17;335029;7880597.0;1.0;7880597.0;SETTORI ORDINARI;2008-11-27;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;MINISTERO DELLAMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE;SEZIONE REGIONALE CENTRALE;SISTEMA DI ACQUISIZIONE DATI;HELICA S.R.L.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0250998A17;335029;7880597.0;1.0;7880597.0;SETTORI ORDINARI;2008-11-27;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;MINISTERO DELLAMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE;SEZIONE REGIONALE CENTRALE;SISTEMA DI ACQUISIZIONE DATI;EUTELIA S.P.A.;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0250998A17;335029;7880597.0;1.0;7880597.0;SETTORI ORDINARI;2008-11-27;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;MINISTERO DELLAMBIENTE E DELLA TUTELA DEL TERRITORIO E DEL MARE;SEZIONE REGIONALE CENTRALE;SISTEMA DI ACQUISIZIONE DATI;COMPAGNIA GENERALE RIPRESEAEREE;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
471252202E;4640715;80000.0;1.0;80000.0;SETTORI ORDINARI;2008-11-14;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;ENTE ACQUEDOTTI SICILIANI;SEZIONE REGIONALE SICILIA;EROGAZIONE DI ACQUA;BIANCO GEOM. ANTONINO;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
315648804D;3180835;2800027.75;1.0;2800027.78;SETTORI ORDINARI;2008-11-24;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;PROVINCIA AUTONOMA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;EUT ENERGIE UND UMWELTTECHNIK GMBH;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3156476664;3180822;317468.406;1.0;317468.41;SETTORI ORDINARI;2008-11-04;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;PROVINCIA AUTONOMA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;INGENIEURTEAM BERGMEISTER GMBH;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3156476664;3180822;317468.406;1.0;317468.41;SETTORI ORDINARI;2008-11-04;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;PROVINCIA AUTONOMA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;PLAN TEAM GMBH;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
3156476664;3180822;317468.406;1.0;317468.41;SETTORI ORDINARI;2008-11-04;AFFIDAMENTO DIRETTO;CONTRATTO DAPPALTO;PROVINCIA AUTONOMA DI BOLZANO;SEZIONE REGIONALE  PROVINCIA AUTONOMA DI BOLZANO;SERVIZI ARCHITETTONICI, DI INGEGNERIA E PIANIFICAZIONE;BONIFICHE SPA;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
276992024B;2822125;52000.0;1.0;52000.0;SETTORI ORDINARI;2008-11-27;PROCEDURA RISTRETTA;CONTRATTO D'APPALTO;COMUNE DI TERRANUOVA BRACCIOLINI;SEZIONE REGIONALE TOSCANA;SERVIZI DI BIBLIOTECHE;ASSOCIAZIONE DI PROMOZIONE SOCIALE IDEAZIONE;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
02309401B7;305844;2198000.0;1.0;2198000.0;SETTORI ORDINARI;2008-11-06;PROCEDURA APERTA;ACCORDO QUADRO/CONVENZIONE;AZIENDA U.L.S.S. N. 19 ADRIA;SEZIONE REGIONALE VENETO;APPARECCHI PER MAMMOGRAFIA;I.M.S.  SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
0635026806;678131;87000.0;1.0;87000.0;SETTORI ORDINARI;2008-11-18;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;REGIONE VENETO;SEZIONE REGIONALE VENETO;MACCHINE PER L'ELABORAZIONE DI DATI (HARDWARE);FORNITECNICA SRL;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
3060857B17;3092745;56000.0;1.0;56000.0;SETTORI ORDINARI;2008-11-21;AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO;CONTRATTO D'APPALTO;AZIENDA ULSS N. 3 SERENISSIMA;SEZIONE REGIONALE VENETO;MEDICINALI VARI;KYOWA ITALIANA FARMACEUTICI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
16753595FA;1741087;72530.58;1.0;72530.58;SETTORI ORDINARI;2008-11-17;PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE;CONTRATTO D'APPALTO;SEDICO SERVIZI;SEZIONE REGIONALE VENETO;LAVORI DI IDRAULICA;REOLON IMPIANTI;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA' COMMERCIALI, SOCIETA' COOPERATIVE)
0241345C2E;319466;799656.03;2.0;635656.03;SETTORI ORDINARI;2008-11-25;PROCEDURA APERTA;CONTRATTO D'APPALTO;SEGRETERIA REGIONALE DEL MIBACT PER LA CALABRIA;SEZIONE REGIONALE CENTRALE;LAVORI DI RIPARAZIONE E RIPRISTINO;IIMPRESA SCAVI ARCHEOLOGICI E RESTAURI DI CONGIUSTA VINCENZO;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
0241345C2E;319466;799656.03;2.0;635656.03;SETTORI ORDINARI;2008-11-25;PROCEDURA APERTA;CONTRATTO D'APPALTO;SEGRETERIA REGIONALE DEL MIBACT PER LA CALABRIA;SEZIONE REGIONALE CENTRALE;LAVORI DI RIPARAZIONE E RIPRISTINO;CASSANO DOMENICO SRL;ATI (RAGGRUPPAMENTI TEMPORANEI DI CONCORRENTI: CONSORZI ORDINARI DI CONCORRENTI)
273050325B;2785562;750000.0;1.0;750000.0;SETTORI ORDINARI;2008-11-19;PROCEDURA RISTRETTA;CONTRATTO DI CONCESSIONE DI SERVIZI E/O FORNITURE;DIREZIONE GENERALE DELLA PREVENZIONE SANITARIA MINISTERO DELLA SALUTE;SEZIONE REGIONALE CENTRALE;PROGETTAZIONE E REALIZZAZIONE DI RICERCA E SVILUPPO;FONDAZIONE SALVATORE MAUGERI CLINICA DEL LAVORO E DELLA RIABILITAZIONE;GEIE (SOGGETTI CHE HANNO STIPULATO IL CONTRATTO DI GRUPPO EUROPEO DI INTERESSE ECONOMICO)
31735353ED;3196788;580043.563;1.0;580043.54;SETTORI ORDINARI;2008-11-14;AFFIDAMENTO DIRETTO IN ADESIONE AD ACCORDO QUADRO/CONVENZIONE;CONTRATTO DAPPALTO DISCENDENTE DA ACCORDO QUADRO/CONVENZIONE SENZA SUCCESSIVO CONFRONTO COMPETITIVO;AZIENDA ULSS N. 1 DOLOMITI;SEZIONE REGIONALE VENETO;MEDICINALI VARI;PFIZER ITALIA S.R.L.;IMPRESA SINGOLA (IMPRENDITORI INDIVIDUALI, ANCHE ARTIGIANI, SOCIETA COMMERCIALI, SOCIETA COOPERATIVE)
