"cig";"cig_accordo_quadro";"numero_gara";"oggetto_gara";"importo_complessivo_gara";"n_lotti_componenti";"oggetto_lotto";"importo_lotto";"oggetto_principale_contratto";"stato";"settore";"luogo_istat";"provincia";"data_pubblicazione";"data_scadenza_offerta";"cod_tipo_scelta_contraente";"tipo_scelta_contraente";"cod_modalita_realizzazione";"modalita_realizzazione";"codice_ausa";"cf_amministrazione_appaltante";"denominazione_amministrazione_appaltante";"sezione_regionale";"id_centro_costo";"denominazione_centro_costo";"anno_pubblicazione";"mese_pubblicazione";"cod_cpv";"descrizione_cpv";"flag_prevalente"
"0003448D5D";"";"5537";"MANUTENZIONE PRE-ESTIVA DPR";"7247363.0";;"MANUTENZIONE PRE-ESTIVA DPR";"1038006.0";"SERVIZI";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-09";"2007-03-15";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000234406";"05403151003";"TRENITALIA SPA";"SEZIONE REGIONALE CENTRALE";"24CAADBE-6ECD-4C2F-B6FB-019AEB69F7D5";"PROGRAMMAZIONE MATERIALI ACQUISTI E CONTROLLO PULIZIE REGIONALE";"2007";"2";"50000000-5";"SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.";"1"
"00459352C2";"";"67824";"LAVORI URGENZA PER LA DEMOLIZIONE E RICOSTRUZIONE DI UN MURO DI SOSTEGNO PERICOLANTE A SOSTEGNO DELLA SCUOLA ECC.";"45052.0";;"1";"45052.23";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-07";"2007-02-22";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000247818";"80143490581";"REGIONE LAZIO";"SEZIONE REGIONALE LAZIO";"B4C3C291-318E-4F43-8DF5-18C3666B1C3D";"DIREZIONE REIONALE INFRASTRUTTURE AREA GENIO CIVILE DI RIETI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"00066721E8";"";"10743";"PROCEDURA NEGOZIATA PER LA FORNITURA DI EMODERIVATI OCCORRENTI AI PAZIENTI EMOFILICI DELL'ASL MILANO DUE PER IL PERIODO DI ANNI UNO (01.03.2007 - 29.02.2008)";"2028181.0";;"FORNITURA DEL PRINCIPIO ATTIVO FATTORE VIII DI COAGULAZIONE DEL SANGUE UMANO LIOFILIZZATO ALTAMENTE PURIFICATO, IN FORMA DI COMPLESSO CON IL FATTORE DI VON WILLEBRAND, A DOPPIA SPECIFICA INATTIVAZIONE VIRALE MEDIANTE TRATTAMENTO SOLVENTE/DETERGENTE E RISCALDAMENTO A 80° PER 72 ORE";"24688.32";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-09";"2007-03-07";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000238547";"12319440157";"AZIENDA SANITARIA LOCALE DELLA PROVINCIA DI MILANO 2";"SEZIONE REGIONALE LOMBARDIA";"04C568AF-2BEC-4D05-8F5D-D64801A47AA5";"U.O.C. APPROVVIGIONAMENTI E LOGISTICA";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"000379293F";"";"6038";"GARA N. 03.S.2007 - SERVIZIO DI CONDUZIONE E MANUTEZIONE PROGRAMMATA DELLE CENTRALI TERMICHE, DEGLI IMPIANTI DI RISCALDAMENTO E DEGLI IMPIANTI DI CLIMATIZZAZIONE ESTIVA E INVERNALE INSTALLATI NEGLI EDIFICI DELLA SEDE CENTRALE E DI ALTRE SEDI DELL'UNIVERSITÀ";"235500.0";;"SERVIZIO DI CONDUZIONE E MANUTENZIONE DEGLI IMPIANTI TERMICI";"235500.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-17";"2007-04-10";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000170308";"00876220633";"UNIVERSITA' DEGLI STUDI DI NAPOLI FEDERICO II";"SEZIONE REGIONALE CENTRALE";"6E049FA3-FFC5-4950-808C-78DF93DE56B1";"UFFICIO CONTRATTI AMMINISTRAZIONE CENTRALE";"2007";"2";"50000000-5";"SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.";"1"
"0001777A6A";"";"1904";"MANUTENZIONE STRAORDINARIA PERCORSI TURISTICI, PAVIMENTAZIONI STRADALI E MARCIAPIEDI - VIA DANTE";"155500.0";;"VIA DANTE";"155500.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"016077";"BERGAMO";"2007-02-07";"2007-03-07";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000154592";"00245460167";"COMUNE DI CLUSONE";"SEZIONE REGIONALE LOMBARDIA";"2208";"SETTORE VII PATRIMONIO E LAVORI PUBBLICI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0015144139";"";"22802";"COSTRUZIONE N. 200 LOCULI E N. 128 OSSARI SOTTOPENSILINA-TIPOL. 2A-2B E 3-COMPLESSO FUNERARIO SANTA CHIARA";"188059.0";;"1";"188059.83";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-27";"2007-04-10";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000179301";"00347720781";"COMUNE DI COSENZA";"SEZIONE REGIONALE CALABRIA";"3213";"UFFICIO TECNICO COMUNALE";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0007767985";"";"12086";"AFFIDAMENTO INCARICO DI PROGETTAZIONE ESECUTIVA, INDAGINI PRELIMINARI, STESURA DEL CAPITOLATO E DEL COMPUTO METRICO ANALITICO DEI LAVIRI DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE DEI LAVORI";"99999.0";;"AFFIDAMENTO INCARICO DI PROGETTAZIONE ESECUTIVA, INDAGINI PRELIMINARI, STESURA DEL CAPITOLATO E DEL COMPUTO METRICO ANALITICO DEI LAVORI, DIREZIONE LAVORI E COORDINAMENTO DELLA SICUREZZA IN FASE DI PROGETTAZIONE ED ESECUZIONE DEI LAVORI";"99999.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-03-13";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000244115";"80069170589";"MINISTERO SVILUPPO ECONOMICO-GESTIONE TRANSITORIA EX ICE";"SEZIONE REGIONALE CENTRALE";"CC62F8AC-0BAF-4741-9CE6-D277DFD94BCE";"DIPARTIMENTO AMMINISTRAZIONE FINANZA E CONTROLLO";"2007";"2";"74000000-9";"SERVIZI ARCHITETTONICI, DI INGEGNERIA, EDILI, GIURIDICI, CONTABILI E ALTRI SERVIZI PROFESSIONALI.";"1"
"2662191D7F";"";"2717947";"PROCEDURA PER L'AFFIDAMENTO DELLA FORNITURA IN SOMMINISTRAZIONE DI VETRERIA E MATERIALE DI CONSUMO VARIO PER LE UU.OO. OSPEDALIERE.";"74980.25";"67";"CONTENITORE PER LA RACCOLTA E LA CONSERVAZIONE DEI REPERTI ISTOLOGICI CON COPERCHIO DA ML 2400 (EX LOTTO N.11)";"360.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-09";"2007-02-27";"3";"PROCEDURA NEGOZIATA PREVIA PUBBLICAZIONE";"7";"ACQUISIZIONE IN ECONOMIA";"0000248418";"01825570854";"AZIENDA SANITARIA PROVINCIALE DI CALTANISSETTA";"SEZIONE REGIONALE SICILIA";"2180AEA3-27B7-445F-B15E-F67F7D5EBD07";"P.O.S.ELIA  U.O. PROVVEDITORATO";"2007";"2";"";"";
"0008181F28";"";"12839";"SERVIZIO MISURAZIONE DELLE FIBRE DI AMIANTO AEREODISPERSE E DI BONIFICA DI QUADRI CONTATORI TRAMITE RIMOZIONE DELL'AMIANTO DA ESEGUIRE PRESSO CLIENTI ALIMENTATI IN BASSA TENSIONE NELL'AMBITO TERRITORIALE DELLA ZONA DI VENEZIA-APR14794";"254000.0";;"SERVIZIO MISURAZIONE DELLE FIBRE DI AMIANTO AEREODISPERSE E DI BONIFICA DI QUADRI CONTATORI TRAMITE RIMOZIONE DELL'AMIANTO DA ESEGUIRE PRESSO CLIENTI ALIMENTATI IN BASSA TENSIONE NELL'AMBITO TERRITORIALE DELLA ZONA DI VENEZIA-APR14794";"254000.0";"FORNITURE";"ATTIVO";"SETTORI SPECIALI";"";"";"2007-02-26";"2007-03-09";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000169574";"00811720580";"ENEL - SPA";"SEZIONE REGIONALE CENTRALE";"826E80FC-D721-4DB5-AAC6-25DA9B86815A";"ENEL S.P.A.-ACQUISTI E SERVIZI-APPROVVIGIONAMENTI RETI E MERCATO-APPALTI RETE ELETTRICA";"2007";"2";"40000000-2";"ELETTRICITÀ, GAS, ENERGIA E COMBUSTIBILI NUCLEARI, VAPORE, ACQUA CALDA ED ALTRE SORGENTI DI ENERGIA.";"1"
"00061345EE";"";"9923";"RETI CHIRURGICHE";"737200.0";;"RETI IN POLIPROPILENE PRESAGOMATE";"15000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-05";"2007-02-22";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000244212";"92031720391";"AZIENDA USL DI RAVENNA";"SEZIONE REGIONALE EMILIA ROMAGNA";"2F699219-90E1-41BD-89AF-924D2AB75869";"U.O ACQUISTI E LOGISTICA";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"0001802F0A";"";"1970";"FORNITURA ED INSRALLAZIONE DI APPARECCHI ILLUMINANTI PRESSO LA VILLA BRAGHENTI";"30000.0";;"FORNITURA ED INSTALLAZIONE DI APPARECCHI ILLUMINANTI PRESSO LA VILLA BRAGHENTI";"30000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-02";"2007-02-14";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000154584";"00243280120";"COMUNE DI MALNATE";"SEZIONE REGIONALE LOMBARDIA";"2125";"AREA GESTIONE DEL TERRITORIO";"2007";"2";"31000000-6";"MACCHINE E APPARECCHI, ATTREZZATURE E ARTICOLI DI CONSUMO ELETTRICI.";"1"
"002877410E";"";"42822";"GESTIONE CASA PER ANZIANI DI PALAU";"2790000.0";;"GESTIONE CASA PER ANZIANI DI PALAU";"2790000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-28";"2007-04-26";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000242792";"82004530901";"COMUNE DI PALAU";"SEZIONE REGIONALE SARDEGNA";"E993A595-4ABF-4AA3-AD08-07327B41A3E4";"SETTORE SOCIO-CULTURALE";"2007";"2";"85000000-9";"SERVIZI SANITARI E DI ASSISTENZA SOCIALE.";"1"
"0001994D7C";"";"2394";"LAVORI DI MANUTENZIONE STRAORDINARIA DELLA SCUOLA RADICE DI CATINA DI REGGIO CALABRIA";"194631.0";"2";"LAVORI DI RIQUALIFICAZIONE ED ALBERATURA ZONA PENTIMELE IN REGGIO CALABRIA";"70843.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-14";"2007-03-13";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000158291";"00136380805";"COMUNE DI REGGIO CALABRIA";"SEZIONE REGIONALE CALABRIA";"54152D95-F857-453D-9418-18D4BB7FD85E";"APPALTI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"00090468FC";"";"14054";"SERVIZIO DI GESTIONE, AMMINISTRAZIONE E MANUTENZIONE SISTEMISTICA DELLA PIATTAFORMA LOTUS NOTES DOMINO";"20000.0";;"SERVIZIO DI GESTIONE, AMMINISTRAZIONE E MANUTENZIONE SISTEMISTICA DELLA PIATTAFORMA LOTUS NOTES DOMINO";"20000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-28";"2007-03-01";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000204245";"02584740167";"AZIENDA SANITARIA LOCALE DELLA PROVINCIA DI BERGAMO";"SEZIONE REGIONALE LOMBARDIA";"5131C38B-B78C-462A-A368-7BDEACFD7572";"AREA GESTIONE ACQUISTI E SERVIZI LOGISTICI";"2007";"2";"93000000-8";"SERVIZI VARI.";"1"
"000694318B";"";"10965";"DEMOLIZIONE TOTALE DEI RIVESTIMENTI DEI TORRINI ASCENSORE DEI SOVRAPPASSI PEDONALI - FERROVIA ROMA-LIDO DI OSTIA ";"52187.0";;"DEMOLIZIONE TOTALE DEI RIVESTIMENTI DEI TORRINI ASCENSORE DEI SOVRAPPASSI PEDONALI - FERROVIA ROMA-LIDO DI OSTIA ";"52187.71";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-21";"2007-03-08";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000227115";"06043791000";"METROPOLITANA DI ROMA S.P.A.";"SEZIONE REGIONALE LAZIO";"084082C5-8FE3-4572-A88E-51D0B889E203";"AREA LOGISTICA";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0006901EDE";"";"10929";"ACQUISTO DI DIVISE PER POLIZIA LOCALE E PERSONALE VARIO";"90000.0";"1";"UNICO";"90000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"028060";"PADOVA";"2007-02-22";"2007-04-02";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO DAPPALTO";"0000164904";"00644060287";"COMUNE DI PADOVA";"SEZIONE REGIONALE VENETO";"CC8173DD-9E9B-4E3A-B4ED-5FE8D9324EDD";"SETTORE PROVVEDITORATO";"2007";"2";"18000000-9";"INDUMENTI ED ACCESSORI.";"1"
"000423894C";"";"6763";"FORNITURA IL LEASING DI ATTREZZATURE PER OCULISTICA.";"47800.0";;"N. 1 PERIMETRO AUTOMATICO.";"32000.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-21";"2007-03-12";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000200221";"02365580303";"CENTRO SERVIZI CONDIVISI";"SEZIONE REGIONALE FRIULI VENEZIA GIULIA";"DC3211CC-B191-4362-8826-FDCA1AE7208F";"AREA OPERATIVA";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"0008314CEA";"";"13020";"MANUTENZIONE STRAORDINARIA CENTRO DI FORMAZIONE FOLIGNO ";"42717.0";;"MANUTENZIONE STRAORDINARIA CENTRO DI FORMAZIONE FOLIGNO";"42717.32";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-02-27";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000216111";"04207001001";"FERSERVIZI SPA";"SEZIONE REGIONALE CENTRALE";"B1B1DFD8-1FF7-4B31-BC3F-75B3C39E1A5B";"AREA ACQUISTI DI GRUPPO - ACQUISTI FERSERVIZI";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0007442D51";"";"11682";"LAVORI DI RISANAMENTO CONSERVATIVO PER LA TRASFORMAZIONE DEI LOCALI DELL'EX BIBLIOTECA IN DEPOSITO PER L'ARCHIVIO STORICO ";"40266.0";;"LAVORI DI RISANAMENTO  CONSERVATIVO PER LA TRASFORMAZIONE DEI LOCALI DELL'EX BIBLIOTECA IN DEPOSITO PER L'ARCHIVIO STORICO";"40266.7";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-03-26";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000158394";"00398040048";"COMUNE DI BARGE";"SEZIONE REGIONALE PIEMONTE";"77821E4D-70B7-4486-9592-4969CE35942E";"UFFICIO SEGRETERIA";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"000379186C";"";"6037";"SP 236 DI CASSANO ES 271 RISOLUZIONE SVINCOLO BITRITTO NORD";"200000.0";;"SP 236 DI CASSANO ES 271 RISOLUZIONE SVINCOLO BITRITTO NORD";"200000.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-12";"2007-02-13";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000234873";"80000110728";"CITTA' METROPOLITANA DI BARI";"SEZIONE REGIONALE PUGLIA";"0B7EA36F-1D06-4386-87DC-9425328A16A7";"VIABILITA' CENTRO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"000565282B";"";"9126";"SISTEMAZIONE STRADA BISCONTI-PIETRE LAVATE-BOCITO-MADONNA DEL CARDONETO.";"169573.0";;"01";"169573.44";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-20";"2007-03-06";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000170769";"00547700658";"COMUNE DI OTTATI";"SEZIONE REGIONALE CAMPANIA";"691BCC0C-4075-48CE-9749-67C453DDDE9C";"UFFICIO TECNICO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0005893F0A";"";"9534";"AFFIDAMENTO SERVIZIO INTERVENTI CONTRO L'ABUSO EX L.388/00 - CENTRO DI CONTRASTO ALLA VIOLENZA - L.328/00 - PSDZ-AMBITO N14-PROCEDURA  APERTA-";"139177.0";;"SERVIZIO CONTRO L'ABUSO";"139177.18";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-19";"2007-02-20";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000241314";"82000270635";"COMUNE DI CASTELLAMMARE DI STABIA";"SEZIONE REGIONALE CAMPANIA";"3EE429C6-1636-4BE9-A4CF-105DE9B85E83";"AMBITO N14 - LEGGE 328-00 - CAPOFILA CASTELLAMMARE DI STABIA";"2007";"2";"85000000-9";"SERVIZI SANITARI E DI ASSISTENZA SOCIALE.";"1"
"00072574A9";"";"11412";"CENTRALI IDROEL. SONDRIO-SERVIZIO BIENNALE DI MANUTENZIONE ED ASSISTENZA TECNICA IMPIANTI RILEVAZIONE INCENDI";"31700.0";;"15113";"31700.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-03-13";"2";"PROCEDURA RISTRETTA";"1";"CONTRATTO D'APPALTO";"0000222818";"05617841001";"ENEL PRODUZIONE SPA";"SEZIONE REGIONALE CENTRALE";"1F66BCCC-AA56-4245-9B17-2A08846F1ED0";"CAA - APG OEM - POLO TERMO E IDRO NORD EST";"2007";"2";"50000000-5";"SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.";"1"
"0002404FD3";"";"3409";"SERVIZIO TRIENNALE DI MANUTENZIONE E GESTIONE DI SISTEMI INFORMATIVI DEL COMUNE DI RAVENNA";"794000.0";;"SERVIZIO TRIENNALE DI MANUTENZIONE E GESTIONE DI SISTEMI INFORMATIVI DEL COMUNE DI RAVENNA";"794000.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-09";"2007-04-03";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000179370";"00354730392";"COMUNE DI RAVENNA";"SEZIONE REGIONALE EMILIA ROMAGNA";"76FF6E10-3742-4C34-87BA-9711D9C6F184";"SISTEMA INFORMATIVO E AUTOMAZIONE";"2007";"2";"72000000-5";"SERVIZI INFORMATICI ED AFFINI.";"1"
"0006587BC0";"";"10616";"MANUTENZIONE STRAORDINARIA IMPIANTO RAFFREDDAMENTO AMBIENTE ED APPARATI ESPERIMENTO DAMA";"57500.0";;"1";"57500.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-21";"2007-03-19";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000241882";"84001850589";"ISTITUTO NAZIONALE DI FISICA NUCLEARE (I.N.F.N.)";"SEZIONE REGIONALE CENTRALE";"C43E3BF7-014F-4B77-BDF2-D6635BB44550";"LABORATORI NAZIONALI DEL GRAN SASSO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"000263701F";"";"3978";"SP 635 COLLEGAMENTO VIARIO TRA I COMUNI DI SEDICO E TRICHIANA - LAVORI URGENTI DI MESSA IN SICUREZZA";"224825.0";;"SP 635 COLLEGAMENTO VIARIO TRA I COMUNI DI SEDICO E TRICHIANA - LAVORI URGENTI DI MESSA IN SICUREZZA";"224825.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-07";"2007-02-22";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000218262";"03345230274";"VENETO STRADE S.P.A.";"SEZIONE REGIONALE VENETO";"2EF055EB-AA60-4493-AF13-5BA4BF526E7E";"DIREZIONE OPERATIVA DI BELLUNO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0007093D50";"";"11167";"LAVORAZIONI MECCANICHE DI OFFICINAE/O COSTRUZIONE ALLE MACCHINE UTENSILI DI COMPONENTI MECCANICI VARI PER LE CENTRALI DI FUSINA E PORTO MARGHERA";"300947.0";;"LAVORAZIONI MECCANICHE DI OFFICINAE/O COSTRUZIONE ALLE MACCHINE UTENSILI DI COMPONENTI MECCANICI VARI PER LE CENTRALI DI FUSINA E PORTO MARGHERA";"300947.8";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-03-15";"16";"ACCORDO QUADRO";"1";"CONTRATTO D'APPALTO";"0000222818";"05617841001";"ENEL PRODUZIONE SPA";"SEZIONE REGIONALE CENTRALE";"1F66BCCC-AA56-4245-9B17-2A08846F1ED0";"CAA - APG OEM - POLO TERMO E IDRO NORD EST";"2007";"2";"50000000-5";"SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.";"1"
"0003975046";"";"6366";"PROCEDURA APERTA 7/07 INTERVENTO DI DEMOLIZIONE DELLE OPERE MURARIE IN CEMENTO ARMATO PRESENTI ALL?INTERNO DELL?EDIFICIO EX MATURAZIONE ACCELERATA COMPOST";"81800.0";;"INTERVENTO DI DEMOLIZIONE DELLE OPERE MURARIE IN CEMENTO ARMATO PRESENTI ALL?INTERNO DELL?EDIFICIO EX MATURAZIONE ACCELERATA COMPOST";"81800.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-22";"2007-03-20";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000247665";"97196760157";"AMSA HOLDING SPA";"SEZIONE REGIONALE LOMBARDIA";"93";"UFFICIO TECNICO";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"00077489D7";"";"12052";"RECUPERO DI ALCUNI AMBIENTI DEL CASTELLO DUCALE DI SANT'AGATA DE'GOTI DA DESTINARE A MUSEO DELLA SCENOGRAFIA E DELL'IMMAGINE TEATRALE, CINEMATOGRAFICA E TELEVISIVA - I LOTTO";"279265.0";;"RECUPERO DI ALCUNI AMBIENTI DEL CASTELLO DUCALE";"279265.7";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-23";"2007-03-23";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000234884";"80000750622";"COMUNE DI SANT AGATA DE  GOTI";"SEZIONE REGIONALE CAMPANIA";"78DD1FEB-8AB9-4186-9F49-3C8D3B4F6ECA";"UFFICIO TECNICO - LAVORI PUBBLICI";"2007";"2";"50000000-5";"SERVIZI DI RIPARAZIONE, MANUTENZIONE E INSTALLAZIONE.";"1"
"0001284396";"";"770";"COTTIMO FIDUCIAIRO PER LA REALIZZAZIONE DELLE OPERE DI COMPLETAMENTO DELL'AREA DI PERTINENZA DEL CAMPO SPORTIVO COMUNALE.";"99678.0";;"01";"99678.0";"LAVORI";"ATTIVO";"SETTORI ORDINARI";"085014";"CALTANISSETTA";"2007-02-14";"2007-03-05";"8";"AFFIDAMENTO IN ECONOMIA - COTTIMO FIDUCIARIO";"1";"CONTRATTO D'APPALTO";"0000235696";"80002990853";"COMUNE DI RESUTTANO";"SEZIONE REGIONALE SICILIA";"3106";"UFFICIO TECNICO COMUNALE";"2007";"2";"45000000-7";"LAVORI DI COSTRUZIONE.";"1"
"0003698BAC";"";"5900";"SERVICE POMPE INFUSIONALI E RELATIVO MATERIALE DI CONSUMO";"1002312.0";;"POMPE INFUSIONALI VOLUMETRICHE A DUE VIE IN SERVICE";"48887.0";"FORNITURE";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-26";"2007-04-13";"1";"PROCEDURA APERTA";"1";"CONTRATTO D'APPALTO";"0000233566";"06815430019";"AZIENDA OSPEDALIERA O.I.R.M. - SANT'ANNA";"SEZIONE REGIONALE PIEMONTE";"6A8ECADA-DCF8-4403-B1B3-EF2B3ACFE2EC";"S.C. PROVVEDITORATO";"2007";"2";"33000000-0";"APPARECCHIATURE MEDICHE E DI LABORATORIO, STRUMENTI OTTICI E DI PRECISIONE, OROLOGI, PRODOTTI FARMACEUTICI E RELATIVI MATERIALI MEDICI CORRENTI.";"1"
"2999913684";"";"3037247";"INCARICO COLLAUDO TECNICO-AMMINISTRATIVO LAVORI RILOCALIZZAZIONE DELLA FRAZIONE CAVALLERIZZO DI CERZETO(CS)";;"1";"INCARICO COLLAUDO TECNICO-AMMINISTRATIVO LAVORI RILOCALIZZAZIONE DELLA FRAZIONE CAVALLERIZZO DI CERZETO(CS)";"-1.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-23";"2007-02-26";"4";"PROCEDURA NEGOZIATA SENZA PREVIA PUBBLICAZIONE";"1";"CONTRATTO D'APPALTO";"0000237539";"80006370789";"PREFETTURA DI COSENZA";"SEZIONE REGIONALE CENTRALE";"9A2854D7-1F3D-4BD6-9EDD-4EFD64DEEA84";"SERVIZIO AMMINISTRAZIONE SERVIZI GENERALI  ATTIVITA CONTRATTUALE";"2007";"2";"";"";
"000453700D";"";"7266";"SERVIZIO VIGILANZA PRESSO ENTI, REPARTI E DTACCAMENTI";"6443162.0";;"SERVIZIO VIGILANZA PRESSO EDR PROVINCIA DELL'AQUILA";"189680.0";"SERVIZI";"ATTIVO";"SETTORI ORDINARI";"";"";"2007-02-14";"2007-02-21";"15";"PROCEDURA NEGOZIATA";"1";"CONTRATTO D'APPALTO";"0000247389";"97161630583";"MINISTERO DIFESA DIR.GEN.COMMISS.TO SERVIZI GENERALI";"SEZIONE REGIONALE CENTRALE";"D3F7B5DD-45A3-4C7B-97DE-0BAEB02BF0E9";"DIREZIONE GENERALE DEI SERVIZI GENERALI TERZA DIVISIONE";"2007";"2";"93000000-8";"SERVIZI VARI.";"1"
